"secs","kph","rpm","watts","hr","torq","km","g"
947.52,29.7,92,87,129,3.6,7.086,2.56
950.04,29.1,93,160,129,6.8,7.107,2.48
952.56,28.6,87,209,129,9,7.127,2.61
955.08,28.3,84,189,129,8.2,7.146,2.67
957.6,28.1,82,195,129,8.6,7.165,2.72
960.12,27.7,85,180,126,8,7.185,2.59
962.64,27.4,88,206,126,9.3,7.204,2.47
965.16,28.1,82,195,127,8.6,7.224,2.72
967.68,28.8,95,105,127,4.5,7.243,2.41
970.2,29.9,116,66,128,2.7,7.264,2.05
972.72,31.2,80,80,128,3.2,7.286,3.1
975.24,31.6,95,90,128,3.5,7.308,2.64
977.76,31.5,106,104,128,4.1,7.331,2.36
980.28,31.1,89,151,0,6,7.353,2.77
982.8,31.4,90,167,0,6.6,7.374,2.77
985.32,31.4,88,144,0,5.6,7.396,2.83
987.84,31.1,97,131,128,5.2,7.417,2.54
990.36,31.4,109,115,128,4.5,7.441,2.29
992.88,34,0,0,128,0,7.463,NA
995.4,36,0,0,128,0,7.489,NA
997.92,36.9,97,135,126,4.5,7.514,3.02
1000.44,35.2,97,158,126,5.5,7.538,2.88
1002.96,33.8,87,130,126,4.7,7.562,3.08
1005.48,33.2,87,109,128,4.1,7.586,3.03
1008,34.1,92,75,128,2.7,7.609,2.94
1010.52,35.3,0,0,128,0,7.635,NA
1013.04,37.2,0,0,128,0,7.661,NA
1015.56,38.5,51,25,126,0.8,7.687,5.99
1018.08,39,0,0,126,0,7.715,NA
1020.6,37.7,59,72,126,2.4,7.741,5.07
1023.12,37.3,0,0,104,0,7.767,NA
1025.64,36.5,100,87,101,2.9,7.792,2.9
1028.16,35.5,98,97,102,3.4,7.818,2.87
1030.68,34.6,96,149,107,5.3,7.842,2.86
1033.2,32.8,90,195,111,7.3,7.866,2.89
1035.72,31.8,86,171,112,6.7,7.887,2.93
1038.24,31.2,83,134,117,5.3,7.909,2.98
1040.76,30.8,88,158,117,6.3,7.93,2.78
